index,sensor_id,latitude,longitude
0,97_3_38,36.13849,-115.17471
1,97_2_33,36.13359,-115.17822
2,97_1_33,36.13035,-115.17947
3,89_2_30,36.12748,-115.17968
4,89_1_28,36.12391,-115.17969
5,72_1_22,36.11786,-115.17970
6,72_2_28,36.11764,-115.17973
7,59_2_18,36.10223,-115.17977
8,59_1_18,36.09703,-115.17978
9,58_2_17,36.09194,-115.17981
10,49_3_15,36.08819,-115.17983
11,49_2_12,36.08427,-115.17979
12,34_1_94,36.05627,-115.17982
13,354_3_145,36.04807,-115.17981
14,354_2_144,36.04323,-115.17982
15,354_1_79,36.03808,-115.17982
16,355_3_155,36.03199,-115.17978
17,355_2_153,36.02666,-115.17976
18,355_1_156,36.02301,-115.17979
19,356_2_308,36.01294,-115.17981
20,356_1_309,36.00280,-115.17973
21,357_1_312,35.98674,-115.17983
22,359_1_325,35.96580,-115.18024
23,438_3_329,35.92719,-115.19405
24,438_1_331,35.91370,-115.20422
25,439_3_332,35.90623,-115.20924
26,439_2_333,35.89919,-115.21380
27,439_1_334,35.89165,-115.21922